0	1.74012e+08	1.09122e+08	
0	1.80331e+08	1.13085e+08	
0	1.86846e+08	1.1717e+08	
0	1.93562e+08	1.21382e+08	
0	2.00483e+08	1.25722e+08	
0	2.07616e+08	1.30195e+08	
0	2.14965e+08	1.34803e+08	
0	2.22536e+08	1.39551e+08	
0	2.30333e+08	1.44441e+08	
0	2.38363e+08	1.49476e+08	
0	2.46632e+08	1.54661e+08	
0	2.55144e+08	1.59999e+08	
0	2.63905e+08	1.65494e+08	
0	2.72922e+08	1.71148e+08	
0	2.82201e+08	1.76967e+08	
0	2.91747e+08	1.82953e+08	
0	3.01567e+08	1.89111e+08	
0	3.11667e+08	1.95445e+08	
0	3.22053e+08	2.01958e+08	
0	3.32733e+08	2.08655e+08	
0	3.43712e+08	2.1554e+08	
0	3.54997e+08	2.22617e+08	
0	3.66596e+08	2.2989e+08	
0	3.78514e+08	2.37364e+08	
0	3.9076e+08	2.45043e+08	
0	4.03339e+08	2.52932e+08	
0	4.1626e+08	2.61035e+08	
0	4.2953e+08	2.69356e+08	
0	4.43156e+08	2.77901e+08	
0	4.57145e+08	2.86674e+08	
0	4.71507e+08	2.95679e+08	
0	4.86247e+08	3.04923e+08	
0	5.01374e+08	3.14409e+08	
0	5.16896e+08	3.24143e+08	
0	5.32822e+08	3.3413e+08	
0	5.49158e+08	3.44374e+08	
0	5.65915e+08	3.54882e+08	
0	5.83099e+08	3.65658e+08	
0	6.0072e+08	3.76709e+08	
0	6.18786e+08	3.88038e+08	
0	6.37307e+08	3.99652e+08	
0	6.5629e+08	4.11556e+08	
0	6.75745e+08	4.23756e+08	
0	6.95681e+08	4.36258e+08	
0	7.16107e+08	4.49067e+08	
0	7.37033e+08	4.6219e+08	
0	7.58468e+08	4.75631e+08	
0	7.80421e+08	4.89398e+08	
0	8.02902e+08	5.03496e+08	
0	8.25921e+08	5.17931e+08	
0	8.49487e+08	5.32709e+08	
0	8.73611e+08	5.47837e+08	
0	8.98303e+08	5.63321e+08	
0	9.23573e+08	5.79168e+08	
0	9.49431e+08	5.95383e+08	
0	9.75888e+08	6.11974e+08	
0	1.00295e+09	6.28947e+08	
0	1.03064e+09	6.46309e+08	
0	1.05896e+09	6.64066e+08	
0	1.08791e+09	6.82225e+08	
0	1.11752e+09	7.00793e+08	
0	1.1478e+09	7.19777e+08	
0	1.17874e+09	7.39184e+08	
0	1.21038e+09	7.59021e+08	
0	1.24271e+09	7.79295e+08	
0	1.27575e+09	8.00013e+08	
0	1.3095e+09	8.21184e+08	
0	1.344e+09	8.42813e+08	
0	1.37923e+09	8.64908e+08	
0	1.41522e+09	8.87477e+08	
0	1.45198e+09	9.10527e+08	
0	1.48951e+09	9.34066e+08	
0	1.52784e+09	9.58102e+08	
0	1.56697e+09	9.82641e+08	
0	1.60692e+09	1.00769e+09	
0	1.6477e+09	1.03326e+09	
0	1.68932e+09	1.05936e+09	
0	1.73179e+09	1.086e+09	
0	1.77513e+09	1.11317e+09	
0	1.81935e+09	1.1409e+09	
0	1.86446e+09	1.16919e+09	
0	1.91047e+09	1.19805e+09	
0	1.95741e+09	1.22748e+09	
0	2.00527e+09	1.2575e+09	
0	2.05408e+09	1.2881e+09	
0	2.10385e+09	1.31931e+09	
0	2.15459e+09	1.35113e+09	
0	2.20631e+09	1.38357e+09	
0	2.25904e+09	1.41663e+09	
0	2.31277e+09	1.45033e+09	
0	2.36753e+09	1.48467e+09	
0	2.42333e+09	1.51966e+09	
0	2.48019e+09	1.55531e+09	
0	2.53811e+09	1.59163e+09	
0	2.59711e+09	1.62863e+09	
0	2.65721e+09	1.66632e+09	
0	2.71842e+09	1.7047e+09	
0	2.78075e+09	1.74379e+09	
0	2.84421e+09	1.78359e+09	
0	2.90883e+09	1.82411e+09	
0	2.97462e+09	1.86537e+09	
0	3.04159e+09	1.90736e+09	
0	3.10975e+09	1.95011e+09	
0	3.17912e+09	1.99361e+09	
0	3.24972e+09	2.03788e+09	
0	3.32155e+09	2.08293e+09	
0	3.39464e+09	2.12876e+09	
0	3.469e+09	2.17539e+09	
0	3.54463e+09	2.22282e+09	
0	3.62157e+09	2.27107e+09	
0	3.69982e+09	2.32014e+09	
0	3.77939e+09	2.37004e+09	
0	3.86031e+09	2.42078e+09	
0	3.94258e+09	2.47237e+09	
0	4.02622e+09	2.52482e+09	
0	4.11125e+09	2.57815e+09	
0	4.19769e+09	2.63235e+09	
0	4.28553e+09	2.68744e+09	
0	4.37481e+09	2.74342e+09	
0	4.46553e+09	2.80031e+09	
0	4.55772e+09	2.85812e+09	
0	4.65138e+09	2.91686e+09	
0	4.74653e+09	2.97652e+09	
0	4.84319e+09	3.03714e+09	
0	4.94136e+09	3.0987e+09	
0	5.04107e+09	3.16123e+09	
0	5.14234e+09	3.22473e+09	
0	5.24516e+09	3.28922e+09	
0	5.34957e+09	3.35469e+09	
0	5.45557e+09	3.42116e+09	
0	5.56319e+09	3.48864e+09	
0	5.67242e+09	3.55715e+09	
0	5.7833e+09	3.62668e+09	
0	5.89583e+09	3.69724e+09	
0	6.01003e+09	3.76886e+09	
0	6.12591e+09	3.84153e+09	
0	6.24349e+09	3.91526e+09	
0	6.36278e+09	3.99007e+09	
0	6.4838e+09	4.06596e+09	
0	6.60656e+09	4.14294e+09	
0	6.73108e+09	4.22103e+09	
0	6.85737e+09	4.30022e+09	
0	6.98545e+09	4.38054e+09	
0	7.11532e+09	4.46198e+09	
0	7.24701e+09	4.54456e+09	
0	7.38052e+09	4.62829e+09	
0	7.51588e+09	4.71317e+09	
0	7.65309e+09	4.79921e+09	
0	7.79217e+09	4.88643e+09	
0	7.93314e+09	4.97483e+09	
0	8.076e+09	5.06442e+09	
0	8.22077e+09	5.15521e+09	
0	8.36747e+09	5.2472e+09	
0	8.51611e+09	5.34041e+09	
0	8.6667e+09	5.43484e+09	
0	8.81925e+09	5.53051e+09	
0	8.97378e+09	5.62741e+09	
0	9.13031e+09	5.72557e+09	
0	9.28883e+09	5.82498e+09	
0	9.44938e+09	5.92565e+09	
0	9.61195e+09	6.0276e+09	
0	9.77657e+09	6.13083e+09	
0	9.94324e+09	6.23535e+09	
0	1.0112e+10	6.34117e+09	
0	1.02828e+10	6.44829e+09	
0	1.04557e+10	6.55672e+09	
0	1.06307e+10	6.66647e+09	
0	1.08078e+10	6.77754e+09	
0	1.09871e+10	6.88995e+09	
0	1.11685e+10	7.00371e+09	
0	1.1352e+10	7.11881e+09	
0	1.15377e+10	7.23526e+09	
0	1.17256e+10	7.35308e+09	
