0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.2312	13.2546	15.7726	18.9415	22.9796	28.1972	35.0446	44.1903	56.6525	74.028	98.9068	135.654	191.957	282.003	429.895	282.003	191.957	135.654	98.9068	74.028	56.6525	44.1903	35.0446	28.1972	22.9796	18.9415	15.7726	13.2546	11.2312	
13.8463	16.3408	19.445	23.3518	28.3301	34.7625	43.2042	54.4794	69.8432	91.2643	121.936	167.239	236.652	347.663	529.987	347.663	236.652	167.239	121.936	91.2643	69.8432	54.4794	43.2042	34.7625	28.3301	23.3518	19.445	16.3408	13.8463	
16.7328	19.7473	23.4987	28.2199	34.236	42.0095	52.211	65.8367	84.4034	110.29	147.356	202.103	285.987	420.141	640.47	420.141	285.987	202.103	147.356	110.29	84.4034	65.8367	52.211	42.0095	34.236	28.2199	23.4987	19.7473	16.7328	
19.961	23.5571	28.0323	33.6643	40.8411	50.1143	62.284	78.5384	100.687	131.568	175.785	241.095	341.161	501.198	764.03	501.198	341.161	241.095	175.785	131.568	100.687	78.5384	62.284	50.1143	40.8411	33.6643	28.0323	23.5571	19.961	
23.5843	27.8331	33.1206	39.775	48.2545	59.2108	73.5895	92.7944	118.963	155.45	207.693	284.857	403.088	592.173	902.708	592.173	403.088	284.857	207.693	155.45	118.963	92.7944	73.5895	59.2108	48.2545	39.775	33.1206	27.8331	23.5843	
27.6529	32.6347	38.8343	46.6366	56.579	69.4254	86.2847	108.803	139.486	182.267	243.522	333.999	472.626	694.33	1058.43	694.33	472.626	333.999	243.522	182.267	139.486	108.803	86.2847	69.4254	56.579	46.6366	38.8343	32.6347	27.6529	
32.218	38.0223	45.2454	54.3358	65.9195	80.8867	100.529	126.765	162.514	212.357	283.725	389.138	550.65	808.956	1233.15	808.956	550.65	389.138	283.725	212.357	162.514	126.765	100.529	80.8867	65.9195	54.3358	45.2454	38.0223	32.218	
37.3335	44.0594	52.4294	62.9631	76.386	93.7297	116.491	146.892	188.317	246.075	328.774	450.924	638.081	937.4	1428.94	937.4	638.081	450.924	328.774	246.075	188.317	146.892	116.491	93.7297	76.386	62.9631	52.4294	44.0594	37.3335	
43.0566	50.8135	60.4666	72.6151	88.0957	108.098	134.349	169.41	217.186	283.797	379.174	520.049	735.897	1081.1	1647.98	1081.1	735.897	520.049	379.174	283.797	217.186	169.41	134.349	108.098	88.0957	72.6151	60.4666	50.8135	43.0566	
